date,open,high,low,close,volume,openinterest
2006-06-02,170.50 ,170.75 ,166.40 ,170.00 ,259234,105618
2006-06-05,170.60 ,170.75 ,167.40 ,168.40 ,183412,101786
2006-06-07,165.90 ,166.30 ,164.00 ,164.30 ,227266,74054
2006-06-08,163.85 ,164.00 ,158.05 ,159.50 ,274664,59228
2006-06-09,160.00 ,160.60 ,157.10 ,160.45 ,267875,104459
2006-06-12,159.25 ,161.05 ,157.35 ,161.05 ,245637,105753
2006-06-13,157.55 ,158.05 ,155.25 ,155.45 ,202511,111523
2006-06-14,154.95 ,159.65 ,154.15 ,158.45 ,241728,110863
2006-06-15,159.70 ,160.30 ,156.35 ,157.60 ,213012,108167
2006-06-16,162.05 ,164.10 ,161.85 ,163.75 ,175810,104040
2006-06-19,162.05 ,163.15 ,160.55 ,162.55 ,170827,104434
2006-06-20,160.60 ,161.35 ,157.50 ,158.10 ,223890,108272
2006-06-21,158.50 ,159.20 ,157.00 ,158.60 ,198052,108685
2006-06-22,161.35 ,162.10 ,160.25 ,160.70 ,186346,108317
2006-06-23,158.00 ,159.30 ,156.60 ,158.75 ,179615,109671
2006-06-26,159.00 ,161.25 ,158.60 ,160.65 ,180424,107691
2006-06-27,161.20 ,162.50 ,160.85 ,161.55 ,164335,104758
2006-06-28,159.05 ,160.40 ,158.35 ,160.40 ,179754,104200
2006-06-29,161.65 ,164.90 ,161.60 ,164.10 ,164435,108273
2006-06-30,167.70 ,168.35 ,167.10 ,167.35 ,155423,103546
2006-07-03,168.10 ,168.20 ,166.50 ,167.50 ,151432,103078
2006-07-04,169.00 ,169.00 ,166.25 ,166.25 ,164468,105620
2006-07-05,163.05 ,166.70 ,163.05 ,166.00 ,201314,105365
2006-07-06,165.00 ,165.40 ,162.20 ,163.20 ,232036,100921
2006-07-07,164.40 ,165.75 ,163.80 ,165.40 ,176256,99314
2006-07-10,164.20 ,169.30 ,162.75 ,169.30 ,256268,105874
2006-07-11,168.05 ,169.45 ,167.05 ,168.50 ,262106,102058
2006-07-12,169.20 ,170.50 ,167.60 ,168.50 ,268839,99366
2006-07-13,166.20 ,168.85 ,164.85 ,165.70 ,288678,99358
2006-07-14,163.05 ,163.10 ,160.55 ,161.00 ,238589,103043
2006-07-18,160.45 ,160.50 ,158.85 ,158.90 ,200554,106119
2006-07-19,159.50 ,161.40 ,158.95 ,159.70 ,227056,108622
2006-07-20,164.00 ,165.70 ,163.25 ,165.70 ,162769,106578
2006-07-21,163.90 ,165.10 ,163.45 ,165.00 ,156609,104191
2006-07-24,163.00 ,164.80 ,161.30 ,164.10 ,208134,105202
2006-07-25,166.70 ,167.75 ,166.30 ,166.85 ,149540,105787
2006-07-26,167.05 ,167.45 ,166.05 ,166.20 ,158130,102969
2006-07-27,166.55 ,169.70 ,166.25 ,168.95 ,197818,108991
2006-07-28,168.05 ,169.85 ,168.05 ,169.30 ,172891,106199
2006-07-31,171.65 ,171.95 ,168.70 ,168.70 ,170077,104849
2006-08-01,168.90 ,170.45 ,167.25 ,167.90 ,181832,105328
2006-08-02,167.00 ,169.20 ,166.45 ,169.20 ,202224,107393
2006-08-03,170.00 ,170.20 ,167.75 ,168.95 ,185241,104777
2006-08-04,169.40 ,170.60 ,169.20 ,170.05 ,176439,105813
2006-08-07,170.75 ,170.90 ,167.90 ,168.10 ,181923,104923
2006-08-08,168.50 ,171.65 ,168.40 ,170.55 ,198096,113662
2006-08-09,170.25 ,173.05 ,169.35 ,172.30 ,216969,111654
2006-08-10,171.10 ,171.65 ,168.15 ,170.75 ,285369,103291
2006-08-11,171.25 ,172.20 ,167.75 ,168.40 ,213652,106055
2006-08-14,168.80 ,170.50 ,167.95 ,168.65 ,168801,107361
2006-08-16,171.55 ,172.50 ,170.25 ,172.00 ,175829,110167
2006-08-17,173.10 ,174.55 ,172.85 ,173.50 ,191223,113497
2006-08-18,173.75 ,174.80 ,173.10 ,174.25 ,168301,110659
2006-08-21,174.20 ,174.75 ,171.65 ,172.65 ,167612,109318
2006-08-22,173.00 ,174.85 ,172.80 ,174.60 ,171823,113340
2006-08-23,174.30 ,174.30 ,172.05 ,173.00 ,185159,109108
2006-08-24,172.00 ,172.25 ,170.70 ,172.00 ,172721,106752
2006-08-25,172.35 ,174.25 ,171.80 ,173.85 ,185787,108783
2006-08-28,173.80 ,174.50 ,172.60 ,173.30 ,162817,109046
2006-08-29,174.50 ,175.50 ,174.50 ,175.40 ,132068,110995
2006-08-30,175.45 ,175.45 ,174.10 ,175.05 ,146896,107332
2006-08-31,175.90 ,177.45 ,175.20 ,176.00 ,177298,114428
2006-09-01,175.95 ,176.80 ,175.50 ,176.40 ,133118,113138
2006-09-04,177.45 ,177.80 ,176.60 ,176.60 ,125069,109940
2006-09-05,176.95 ,177.80 ,176.30 ,177.80 ,144116,110831
2006-09-06,177.25 ,177.55 ,175.90 ,176.50 ,153317,106325
2006-09-07,175.00 ,176.45 ,174.85 ,175.75 ,170975,106389
2006-09-08,175.40 ,177.05 ,175.15 ,176.50 ,189573,103622
2006-09-11,176.50 ,176.50 ,172.95 ,173.10 ,200270,94102
2006-09-12,173.20 ,174.25 ,171.80 ,172.40 ,218095,82672
2006-09-13,174.40 ,174.45 ,172.70 ,172.75 ,163604,68006
2006-09-14,173.60 ,175.80 ,172.20 ,175.60 ,189881,56753
2006-09-15,177.05 ,177.95 ,176.20 ,177.90 ,145572,99423
2006-09-18,177.90 ,180.55 ,177.40 ,179.30 ,127418,99773
2006-09-19,179.50 ,180.05 ,179.10 ,179.10 ,121447,99417
2006-09-20,178.55 ,179.35 ,176.90 ,179.05 ,196389,99632
2006-09-21,179.95 ,180.50 ,178.05 ,178.60 ,165436,99510
2006-09-22,177.65 ,177.75 ,175.60 ,176.30 ,181279,92878
2006-09-25,176.55 ,177.95 ,176.15 ,177.30 ,143114,97819
2006-09-26,178.30 ,178.30 ,175.10 ,175.60 ,160739,96580
2006-09-27,177.00 ,178.60 ,176.80 ,178.30 ,141378,99608
2006-09-28,178.45 ,179.90 ,177.90 ,179.40 ,130889,101836
2006-09-29,179.95 ,180.35 ,179.10 ,179.10 ,120883,101418
2006-10-02,179.75 ,181.20 ,179.25 ,179.60 ,125648,103903
2006-10-04,178.50 ,179.55 ,175.75 ,177.10 ,172672,94194
2006-10-09,177.90 ,179.00 ,171.05 ,172.50 ,303180,95463
2006-10-10,173.00 ,175.05 ,173.00 ,174.20 ,197560,94775
2006-10-11,173.00 ,174.80 ,172.55 ,174.00 ,226314,99810
2006-10-12,174.15 ,175.60 ,173.55 ,175.50 ,185919,96906
2006-10-13,177.00 ,177.55 ,176.50 ,177.20 ,114642,103377
2006-10-16,177.60 ,178.35 ,177.00 ,178.15 ,105984,105307
2006-10-17,178.15 ,178.35 ,176.10 ,177.50 ,178843,100737
2006-10-18,176.90 ,178.20 ,175.55 ,177.80 ,181264,102842
2006-10-19,177.80 ,178.15 ,176.90 ,177.30 ,156074,98210
2006-10-20,177.95 ,179.35 ,177.60 ,178.65 ,134031,101813
2006-10-23,179.05 ,179.40 ,177.90 ,178.70 ,130350,101407
2006-10-24,179.20 ,179.90 ,178.35 ,178.80 ,130105,102359
2006-10-25,179.00 ,180.20 ,178.95 ,179.30 ,131524,105800
2006-10-26,179.65 ,180.45 ,179.15 ,179.75 ,140482,106482
2006-10-27,180.85 ,180.90 ,178.55 ,179.25 ,159266,106715
2006-10-30,178.05 ,178.40 ,177.00 ,177.00 ,131396,106478
2006-10-31,177.15 ,178.35 ,176.85 ,178.15 ,122394,105988
2006-11-01,179.00 ,179.95 ,178.35 ,179.90 ,153086,110711
2006-11-02,179.05 ,180.65 ,178.95 ,180.25 ,174835,112936
2006-11-03,180.40 ,180.85 ,180.10 ,180.30 ,86495,112161
2006-11-06,179.95 ,180.20 ,177.40 ,179.90 ,201129,101125
2006-11-07,180.90 ,181.40 ,180.60 ,181.15 ,126396,111400
2006-11-08,181.30 ,181.45 ,179.60 ,179.75 ,168541,107844
2006-11-09,180.25 ,182.25 ,180.10 ,182.00 ,183357,111334
2006-11-10,181.70 ,182.80 ,181.50 ,181.85 ,135206,110766
2006-11-13,182.25 ,182.40 ,180.50 ,182.10 ,155978,107755
2006-11-14,182.85 ,183.20 ,182.25 ,183.00 ,112702,107972
2006-11-15,183.45 ,183.90 ,183.00 ,183.50 ,114892,107397
2006-11-16,183.80 ,184.20 ,183.30 ,183.90 ,105518,108248
2006-11-17,184.25 ,184.50 ,183.10 ,183.80 ,148032,105727
2006-11-20,184.05 ,184.05 ,182.00 ,182.00 ,153293,102570
2006-11-21,182.55 ,183.10 ,182.30 ,182.80 ,108736,102474
2006-11-22,182.80 ,185.25 ,182.60 ,184.95 ,120623,109359
2006-11-23,184.40 ,185.35 ,184.25 ,184.90 ,102591,107424
2006-11-24,184.70 ,185.55 ,183.45 ,184.65 ,157174,107854
2006-11-27,184.30 ,185.15 ,183.85 ,184.55 ,140484,108699
2006-11-28,182.35 ,183.45 ,182.30 ,183.15 ,138057,104290
2006-11-29,183.50 ,185.00 ,183.40 ,184.85 ,120447,112328
2006-11-30,185.20 ,186.05 ,185.10 ,185.80 ,98980,114461
2006-12-01,185.80 ,186.40 ,185.45 ,185.50 ,114555,112887
2006-12-04,185.35 ,185.65 ,184.90 ,185.10 ,107145,109788
2006-12-05,186.50 ,186.50 ,184.30 ,184.55 ,143999,113537
2006-12-06,184.80 ,184.85 ,181.50 ,182.95 ,212079,108072
2006-12-07,183.00 ,183.80 ,182.35 ,182.35 ,164731,107066
2006-12-08,181.50 ,181.85 ,179.25 ,179.50 ,229398,106317
2006-12-11,179.55 ,180.55 ,179.50 ,179.70 ,134671,102022
