,date,open,high,low,close,volume,openinterest
0,2006-06-02,170.5,170.75,166.4,170.0,259234,105618
1,2006-06-05,170.6,170.75,167.4,168.4,183412,101786
2,2006-06-07,165.9,166.3,164.0,164.3,227266,74054
3,2006-06-08,163.85,164.0,158.05,159.5,274664,59228
4,2006-06-09,160.0,160.6,157.1,160.45,267875,104459
5,2006-06-12,159.25,161.05,157.35,161.05,245637,105753
6,2006-06-13,157.55,158.05,155.25,155.45,202511,111523
7,2006-06-14,154.95,159.65,154.15,158.45,241728,110863
8,2006-06-15,159.7,160.3,156.35,157.6,213012,108167
9,2006-06-16,162.05,164.1,161.85,163.75,175810,104040
10,2006-06-19,162.05,163.15,160.55,162.55,170827,104434
11,2006-06-20,160.6,161.35,157.5,158.1,223890,108272
12,2006-06-21,158.5,159.2,157.0,158.6,198052,108685
13,2006-06-22,161.35,162.1,160.25,160.7,186346,108317
14,2006-06-23,158.0,159.3,156.6,158.75,179615,109671
15,2006-06-26,159.0,161.25,158.6,160.65,180424,107691
16,2006-06-27,161.2,162.5,160.85,161.55,164335,104758
17,2006-06-28,159.05,160.4,158.35,160.4,179754,104200
18,2006-06-29,161.65,164.9,161.6,164.1,164435,108273
19,2006-06-30,167.7,168.35,167.1,167.35,155423,103546
20,2006-07-03,168.1,168.2,166.5,167.5,151432,103078
21,2006-07-04,169.0,169.0,166.25,166.25,164468,105620
22,2006-07-05,163.05,166.7,163.05,166.0,201314,105365
23,2006-07-06,165.0,165.4,162.2,163.2,232036,100921
24,2006-07-07,164.4,165.75,163.8,165.4,176256,99314
25,2006-07-10,164.2,169.3,162.75,169.3,256268,105874
26,2006-07-11,168.05,169.45,167.05,168.5,262106,102058
27,2006-07-12,169.2,170.5,167.6,168.5,268839,99366
28,2006-07-13,166.2,168.85,164.85,165.7,288678,99358
29,2006-07-14,163.05,163.1,160.55,161.0,238589,103043
30,2006-07-18,160.45,160.5,158.85,158.9,200554,106119
31,2006-07-19,159.5,161.4,158.95,159.7,227056,108622
32,2006-07-20,164.0,165.7,163.25,165.7,162769,106578
33,2006-07-21,163.9,165.1,163.45,165.0,156609,104191
34,2006-07-24,163.0,164.8,161.3,164.1,208134,105202
35,2006-07-25,166.7,167.75,166.3,166.85,149540,105787
36,2006-07-26,167.05,167.45,166.05,166.2,158130,102969
37,2006-07-27,166.55,169.7,166.25,168.95,197818,108991
38,2006-07-28,168.05,169.85,168.05,169.3,172891,106199
39,2006-07-31,171.65,171.95,168.7,168.7,170077,104849
40,2006-08-01,168.9,170.45,167.25,167.9,181832,105328
41,2006-08-02,167.0,169.2,166.45,169.2,202224,107393
42,2006-08-03,170.0,170.2,167.75,168.95,185241,104777
43,2006-08-04,169.4,170.6,169.2,170.05,176439,105813
44,2006-08-07,170.75,170.9,167.9,168.1,181923,104923
45,2006-08-08,168.5,171.65,168.4,170.55,198096,113662
46,2006-08-09,170.25,173.05,169.35,172.3,216969,111654
47,2006-08-10,171.1,171.65,168.15,170.75,285369,103291
48,2006-08-11,171.25,172.2,167.75,168.4,213652,106055
49,2006-08-14,168.8,170.5,167.95,168.65,168801,107361
50,2006-08-16,171.55,172.5,170.25,172.0,175829,110167
51,2006-08-17,173.1,174.55,172.85,173.5,191223,113497
52,2006-08-18,173.75,174.8,173.1,174.25,168301,110659
53,2006-08-21,174.2,174.75,171.65,172.65,167612,109318
54,2006-08-22,173.0,174.85,172.8,174.6,171823,113340
55,2006-08-23,174.3,174.3,172.05,173.0,185159,109108
56,2006-08-24,172.0,172.25,170.7,172.0,172721,106752
57,2006-08-25,172.35,174.25,171.8,173.85,185787,108783
58,2006-08-28,173.8,174.5,172.6,173.3,162817,109046
59,2006-08-29,174.5,175.5,174.5,175.4,132068,110995
60,2006-08-30,175.45,175.45,174.1,175.05,146896,107332
61,2006-08-31,175.9,177.45,175.2,176.0,177298,114428
62,2006-09-01,175.95,176.8,175.5,176.4,133118,113138
63,2006-09-04,177.45,177.8,176.6,176.6,125069,109940
64,2006-09-05,176.95,177.8,176.3,177.8,144116,110831
65,2006-09-06,177.25,177.55,175.9,176.5,153317,106325
66,2006-09-07,175.0,176.45,174.85,175.75,170975,106389
67,2006-09-08,175.4,177.05,175.15,176.5,189573,103622
68,2006-09-11,176.5,176.5,172.95,173.1,200270,94102
69,2006-09-12,173.2,174.25,171.8,172.4,218095,82672
70,2006-09-13,174.4,174.45,172.7,172.75,163604,68006
71,2006-09-14,173.6,175.8,172.2,175.6,189881,56753
72,2006-09-15,177.05,177.95,176.2,177.9,145572,99423
73,2006-09-18,177.9,180.55,177.4,179.3,127418,99773
74,2006-09-19,179.5,180.05,179.1,179.1,121447,99417
75,2006-09-20,178.55,179.35,176.9,179.05,196389,99632
76,2006-09-21,179.95,180.5,178.05,178.6,165436,99510
77,2006-09-22,177.65,177.75,175.6,176.3,181279,92878
78,2006-09-25,176.55,177.95,176.15,177.3,143114,97819
79,2006-09-26,178.3,178.3,175.1,175.6,160739,96580
80,2006-09-27,177.0,178.6,176.8,178.3,141378,99608
81,2006-09-28,178.45,179.9,177.9,179.4,130889,101836
82,2006-09-29,179.95,180.35,179.1,179.1,120883,101418
83,2006-10-02,179.75,181.2,179.25,179.6,125648,103903
84,2006-10-04,178.5,179.55,175.75,177.1,172672,94194
85,2006-10-09,177.9,179.0,171.05,172.5,303180,95463
86,2006-10-10,173.0,175.05,173.0,174.2,197560,94775
87,2006-10-11,173.0,174.8,172.55,174.0,226314,99810
88,2006-10-12,174.15,175.6,173.55,175.5,185919,96906
89,2006-10-13,177.0,177.55,176.5,177.2,114642,103377
90,2006-10-16,177.6,178.35,177.0,178.15,105984,105307
91,2006-10-17,178.15,178.35,176.1,177.5,178843,100737
92,2006-10-18,176.9,178.2,175.55,177.8,181264,102842
93,2006-10-19,177.8,178.15,176.9,177.3,156074,98210
94,2006-10-20,177.95,179.35,177.6,178.65,134031,101813
95,2006-10-23,179.05,179.4,177.9,178.7,130350,101407
96,2006-10-24,179.2,179.9,178.35,178.8,130105,102359
97,2006-10-25,179.0,180.2,178.95,179.3,131524,105800
98,2006-10-26,179.65,180.45,179.15,179.75,140482,106482
99,2006-10-27,180.85,180.9,178.55,179.25,159266,106715
100,2006-10-30,178.05,178.4,177.0,177.0,131396,106478
101,2006-10-31,177.15,178.35,176.85,178.15,122394,105988
102,2006-11-01,179.0,179.95,178.35,179.9,153086,110711
103,2006-11-02,179.05,180.65,178.95,180.25,174835,112936
104,2006-11-03,180.4,180.85,180.1,180.3,86495,112161
105,2006-11-06,179.95,180.2,177.4,179.9,201129,101125
106,2006-11-07,180.9,181.4,180.6,181.15,126396,111400
107,2006-11-08,181.3,181.45,179.6,179.75,168541,107844
108,2006-11-09,180.25,182.25,180.1,182.0,183357,111334
109,2006-11-10,181.7,182.8,181.5,181.85,135206,110766
110,2006-11-13,182.25,182.4,180.5,182.1,155978,107755
111,2006-11-14,182.85,183.2,182.25,183.0,112702,107972
112,2006-11-15,183.45,183.9,183.0,183.5,114892,107397
113,2006-11-16,183.8,184.2,183.3,183.9,105518,108248
114,2006-11-17,184.25,184.5,183.1,183.8,148032,105727
115,2006-11-20,184.05,184.05,182.0,182.0,153293,102570
116,2006-11-21,182.55,183.1,182.3,182.8,108736,102474
117,2006-11-22,182.8,185.25,182.6,184.95,120623,109359
118,2006-11-23,184.4,185.35,184.25,184.9,102591,107424
119,2006-11-24,184.7,185.55,183.45,184.65,157174,107854
120,2006-11-27,184.3,185.15,183.85,184.55,140484,108699
121,2006-11-28,182.35,183.45,182.3,183.15,138057,104290
122,2006-11-29,183.5,185.0,183.4,184.85,120447,112328
123,2006-11-30,185.2,186.05,185.1,185.8,98980,114461
124,2006-12-01,185.8,186.4,185.45,185.5,114555,112887
125,2006-12-04,185.35,185.65,184.9,185.1,107145,109788
126,2006-12-05,186.5,186.5,184.3,184.55,143999,113537
127,2006-12-06,184.8,184.85,181.5,182.95,212079,108072
128,2006-12-07,183.0,183.8,182.35,182.35,164731,107066
129,2006-12-08,181.5,181.85,179.25,179.5,229398,106317
130,2006-12-11,179.55,180.55,179.5,179.7,134671,102022
131,2006-12-12,179.7,180.15,177.4,178.15,214120,93096
132,2006-12-13,178.05,179.35,177.4,178.25,215068,79661
133,2006-12-14,178.75,182.55,177.65,182.4,231454,71591
134,2006-12-15,183.1,184.15,182.6,183.5,143295,74325
135,2006-12-18,184.3,186.05,184.1,184.95,126091,78128
136,2006-12-19,185.0,185.8,184.55,184.6,149422,81649
137,2006-12-20,185.35,187.5,185.2,186.95,141484,85788
138,2006-12-21,187.2,187.55,186.3,186.5,132839,86904
139,2006-12-22,186.1,186.95,186.1,186.3,118259,86902
140,2006-12-26,186.1,187.0,183.85,185.0,156000,86043
141,2006-12-27,186.0,187.25,185.35,186.65,137527,86358
142,2006-12-28,187.4,187.9,186.3,186.8,117202,87991
143,2007-01-02,187.85,187.9,186.45,187.0,105226,88145
144,2007-01-03,187.7,188.0,183.4,184.0,183851,87360
145,2007-01-04,183.85,184.05,180.7,181.7,213526,90097
146,2007-01-05,181.5,182.15,178.45,179.55,249635,89310
147,2007-01-08,178.85,180.1,177.65,177.85,198899,90949
148,2007-01-09,178.8,179.55,178.05,178.35,161749,94956
149,2007-01-10,177.95,178.0,174.2,175.45,239816,94545
150,2007-01-11,175.9,178.65,175.9,177.0,235563,91238
151,2007-01-12,178.7,180.2,177.9,180.0,163617,87944
152,2007-01-15,180.7,181.35,179.6,180.5,141747,88871
153,2007-01-16,181.0,181.4,180.15,180.85,117177,87938
154,2007-01-17,180.25,180.3,177.35,179.15,207057,88133
155,2007-01-18,178.55,180.25,177.95,180.2,173633,87610
156,2007-01-19,178.35,178.65,175.95,175.95,206236,93056
157,2007-01-22,176.9,178.05,175.65,177.5,153917,92367
158,2007-01-23,176.45,178.3,176.05,177.3,167650,89767
159,2007-01-24,178.35,180.65,178.25,180.65,136078,91692
160,2007-01-25,181.2,181.45,179.8,180.6,140346,92110
161,2007-01-26,179.5,179.55,177.55,178.05,174148,91098
162,2007-01-29,178.9,179.15,176.75,177.6,152990,93973
163,2007-01-30,177.45,178.6,177.0,178.6,136662,92930
164,2007-01-31,179.05,179.1,176.25,177.1,155886,96002
165,2007-02-01,177.8,180.05,177.05,180.05,161804,93815
166,2007-02-02,180.5,184.6,180.1,183.5,195067,93401
167,2007-02-05,183.85,184.95,183.3,184.4,153372,94340
168,2007-02-06,184.75,185.95,183.95,185.6,147893,96854
169,2007-02-07,185.9,186.15,184.45,185.9,190005,94128
170,2007-02-08,185.8,186.25,183.95,184.7,202401,90526
171,2007-02-09,185.1,186.35,184.8,185.2,148586,91151
172,2007-02-12,183.55,183.7,181.95,183.25,138256,90391
173,2007-02-13,183.0,184.9,182.65,184.4,207237,89855
174,2007-02-14,185.5,187.2,185.4,186.45,135580,93679
175,2007-02-15,187.8,188.25,187.0,187.55,117635,93657
176,2007-02-16,187.65,188.3,186.9,188.3,116935,93573
177,2007-02-20,188.3,188.75,187.35,188.5,107490,93444
178,2007-02-21,188.8,189.1,187.6,188.85,152992,91902
179,2007-02-22,188.9,191.2,188.65,190.45,139587,95929
180,2007-02-23,190.55,191.05,189.75,190.3,131322,93941
181,2007-02-26,190.3,191.1,189.9,190.35,132188,92485
182,2007-02-27,190.3,190.45,188.3,188.35,155281,89173
183,2007-02-28,181.0,183.2,180.05,183.2,254404,89473
184,2007-03-02,181.95,184.0,181.65,182.7,182744,90244
185,2007-03-05,181.5,181.6,177.35,177.8,230051,92310
186,2007-03-06,178.85,181.3,178.8,181.1,212589,80870
187,2007-03-07,182.9,183.1,180.2,182.75,285669,63968
188,2007-03-08,181.95,185.45,181.7,183.25,255038,52957
189,2007-03-09,186.5,187.0,184.2,184.8,211159,79708
190,2007-03-12,186.5,187.7,186.1,187.4,132700,78871
191,2007-03-13,187.4,187.6,186.45,186.85,151666,79327
192,2007-03-14,183.35,184.15,182.5,182.8,180387,82617
193,2007-03-15,184.5,186.25,184.0,185.95,152771,86401
194,2007-03-16,185.75,186.4,184.05,185.15,184427,87280
195,2007-03-19,185.1,188.1,184.75,187.25,157000,90041
196,2007-03-20,187.7,188.5,187.2,187.95,141401,88853
197,2007-03-21,188.05,189.05,186.5,187.0,166059,89276
198,2007-03-22,189.45,189.95,188.4,188.6,160832,90462
199,2007-03-23,188.95,189.75,187.75,188.6,152752,89855
200,2007-03-26,189.05,189.9,188.2,188.6,142003,90142
201,2007-03-27,188.5,189.95,187.7,189.8,159723,93687
202,2007-03-28,189.0,190.15,186.45,187.2,226777,87910
203,2007-03-29,186.85,189.35,186.5,189.05,178436,91481
204,2007-03-30,189.75,190.45,188.45,188.7,139155,90753
205,2007-04-02,189.75,191.1,189.6,189.8,151091,95440
206,2007-04-03,190.15,190.75,189.3,190.65,160576,94372
207,2007-04-04,191.7,193.55,191.45,193.2,135758,94695
208,2007-04-05,193.3,193.55,192.7,192.8,99642,92740
209,2007-04-06,193.55,193.75,192.25,193.15,115210,92615
210,2007-04-09,194.0,195.55,193.85,195.0,123239,96122
211,2007-04-10,194.85,195.3,194.35,195.1,124275,95867
212,2007-04-11,195.85,197.7,195.8,196.95,153551,95272
213,2007-04-12,196.55,198.25,196.25,197.0,200423,92148
214,2007-04-13,197.55,198.05,196.3,197.2,173031,87935
215,2007-04-16,197.6,198.6,197.1,198.55,117418,90739
216,2007-04-17,199.0,199.2,197.55,198.15,143653,93025
217,2007-04-18,198.8,199.4,198.2,198.75,118384,94586
218,2007-04-19,198.75,198.85,194.75,196.0,211336,93785
219,2007-04-20,196.65,198.7,196.65,198.65,150047,93109
220,2007-04-23,199.95,201.4,199.15,199.9,166652,91030
221,2007-04-24,199.85,201.5,199.05,201.2,188471,94774
222,2007-04-25,201.3,201.3,198.75,200.0,221822,93381
223,2007-04-26,202.0,202.25,201.0,201.1,154578,94526
224,2007-04-27,200.05,200.65,198.85,199.45,205620,92069
225,2007-04-30,199.0,199.95,198.0,199.95,140698,95603
226,2007-05-02,201.3,201.45,200.1,200.8,140130,95841
227,2007-05-03,201.75,202.2,201.25,202.2,97323,94946
228,2007-05-04,202.2,202.7,201.65,202.6,104484,95419
229,2007-05-07,203.05,205.05,203.05,204.45,108993,98556
230,2007-05-08,204.35,205.2,204.0,204.1,153669,98930
231,2007-05-09,204.1,206.25,203.95,206.2,177575,101478
232,2007-05-10,206.5,208.95,206.4,207.2,214265,99102
233,2007-05-11,205.75,207.2,204.2,206.9,198878,99940
234,2007-05-14,208.25,209.0,206.25,206.95,216727,99997
235,2007-05-15,206.35,208.1,204.45,204.45,241385,104200
236,2007-05-16,205.0,206.6,204.6,206.45,207378,106260
237,2007-05-17,207.85,208.15,207.15,208.1,155789,106891
238,2007-05-18,207.9,208.05,206.05,207.5,190816,106566
239,2007-05-21,206.5,209.65,206.15,209.25,179871,108476
240,2007-05-22,209.75,211.4,208.95,211.05,168638,106585
241,2007-05-23,211.25,212.25,210.65,211.35,180677,104069
242,2007-05-25,209.25,211.1,209.05,210.9,147199,104429
243,2007-05-28,211.4,212.3,210.95,212.2,119782,105340
244,2007-05-29,212.3,212.85,210.9,211.75,173365,109323
245,2007-05-30,211.55,212.05,208.75,212.0,249443,111955
246,2007-05-31,214.1,217.2,213.6,217.2,199881,116955
247,2007-06-01,217.55,222.7,217.25,218.9,284206,116362
248,2007-06-04,221.0,222.7,218.9,221.6,275673,115500
249,2007-06-05,221.15,222.7,219.45,222.1,275816,110410
250,2007-06-07,219.1,223.65,218.8,223.65,228978,108016
251,2007-06-08,220.0,220.95,218.5,219.3,261554,109492
252,2007-06-11,221.0,221.05,217.4,217.85,284107,106757
253,2007-06-12,218.05,219.95,217.45,219.5,251864,101291
254,2007-06-13,218.6,219.95,217.85,218.45,220949,83473
255,2007-06-14,221.0,223.1,220.35,223.0,168596,68055
256,2007-06-15,225.85,226.6,225.0,225.9,147689,86981
257,2007-06-18,227.55,230.75,227.35,230.55,132224,86581
258,2007-06-19,230.65,230.8,229.35,230.3,156215,83902
259,2007-06-20,230.65,230.75,227.5,227.8,183218,87310
260,2007-06-21,227.0,230.8,226.35,229.5,221984,86898
261,2007-06-22,229.65,229.85,225.25,225.9,235620,84697
262,2007-06-25,224.8,228.85,223.45,223.85,239599,86347
263,2007-06-26,224.95,226.05,221.7,223.9,248612,85332
264,2007-06-27,223.0,223.55,220.65,221.2,200020,86767
265,2007-06-28,223.2,223.9,222.1,223.9,155387,85132
266,2007-06-29,225.0,226.0,221.55,221.8,191871,86636
267,2007-07-02,221.85,226.35,221.25,226.05,165541,86912
268,2007-07-03,227.8,231.0,227.65,230.95,191160,85677
269,2007-07-04,231.5,235.0,231.25,234.9,195003,87393
270,2007-07-05,235.0,238.3,234.4,236.85,202866,88870
271,2007-07-06,237.8,238.25,235.0,238.25,216347,89377
272,2007-07-09,239.0,241.9,238.15,240.8,218887,88532
273,2007-07-10,240.55,242.45,240.2,242.3,176923,86349
274,2007-07-11,239.75,243.85,239.65,240.85,230290,86729
275,2007-07-12,241.95,245.75,241.95,244.1,223968,83744
276,2007-07-13,248.7,252.65,248.15,252.65,168303,82654
277,2007-07-16,252.35,252.4,247.35,248.8,190100,83673
278,2007-07-18,249.2,249.55,245.7,245.8,224609,84769
279,2007-07-19,247.2,248.7,244.7,247.55,237887,83744
280,2007-07-20,248.25,253.35,246.75,252.55,187175,85019
281,2007-07-23,251.8,254.1,250.3,253.4,196403,84358
282,2007-07-24,254.4,254.7,251.3,253.75,188494,83826
283,2007-07-25,250.4,256.5,249.6,255.4,184309,85497
284,2007-07-26,255.8,256.65,249.05,249.15,222286,85653
285,2007-07-27,243.6,244.45,237.05,237.85,271206,89971
286,2007-07-30,237.0,242.55,236.05,242.55,231392,91039
287,2007-07-31,242.45,245.3,240.4,245.3,241854,90010
288,2007-08-01,242.5,242.7,230.45,231.75,277707,93393
289,2007-08-02,236.9,239.15,227.7,233.65,306344,93739
290,2007-08-03,237.5,238.7,234.65,236.0,235716,94702
291,2007-08-06,229.0,233.65,228.55,233.5,214872,97207
292,2007-08-07,238.35,238.45,232.3,234.5,226206,97544
293,2007-08-08,238.0,241.15,236.15,240.0,226415,94278
294,2007-08-09,242.6,244.05,239.8,239.9,269629,93805
295,2007-08-10,233.1,233.3,227.95,230.0,229526,95021
296,2007-08-13,231.9,234.0,229.1,233.75,238339,93042
297,2007-08-14,231.45,234.45,228.2,230.7,241740,90873
298,2007-08-16,220.7,222.25,214.5,215.5,285268,98350
299,2007-08-17,216.55,217.65,207.05,207.5,331977,100744
300,2007-08-20,216.0,220.4,214.6,220.4,220950,94416
301,2007-08-21,220.4,224.6,218.2,219.6,283487,95522
302,2007-08-22,220.6,224.35,220.25,223.4,209381,94364
303,2007-08-23,229.5,231.35,228.25,229.2,205218,90177
304,2007-08-24,227.7,229.15,225.25,227.35,203498,89617
305,2007-08-27,231.9,233.1,228.4,229.3,186542,92061
306,2007-08-28,229.55,233.45,227.75,233.35,229338,91790
307,2007-08-29,225.5,234.3,225.5,233.7,249083,89371
308,2007-08-30,237.0,237.8,234.15,235.9,184339,84730
309,2007-08-31,235.4,239.75,235.2,239.0,186477,84796
310,2007-09-03,238.95,239.75,236.55,239.3,156232,84800
311,2007-09-04,239.15,242.05,237.85,237.9,197120,86005
312,2007-09-05,240.5,241.75,235.85,236.0,214764,86540
313,2007-09-06,236.0,240.8,234.0,240.1,235797,88133
314,2007-09-07,239.1,241.4,237.05,238.95,201086,82688
315,2007-09-10,234.55,234.6,229.2,232.0,218839,77266
316,2007-09-11,233.4,235.05,231.25,232.95,167641,73062
317,2007-09-12,234.5,234.8,228.95,229.65,225649,64889
318,2007-09-13,230.5,234.95,228.25,233.45,247840,57968
319,2007-09-14,235.3,239.75,234.7,238.0,159706,79682
320,2007-09-17,238.3,239.25,235.6,238.3,154511,79906
321,2007-09-18,238.0,238.6,233.15,233.6,199834,79909
322,2007-09-19,242.55,245.0,241.45,245.0,162505,84491
323,2007-09-20,244.0,246.35,243.25,244.65,170882,84638
324,2007-09-21,244.65,247.1,244.25,245.8,150500,81140
325,2007-09-27,252.05,252.05,248.6,249.8,112676,85334
326,2007-09-28,250.35,250.85,249.0,249.6,105495,86905
327,2007-10-01,250.35,253.85,250.2,253.05,127530,87716
328,2007-10-02,255.65,260.6,255.1,259.4,161054,88034
329,2007-10-04,257.5,259.8,257.05,258.35,164043,83445
330,2007-10-05,258.1,258.5,256.15,257.35,146824,84682
331,2007-10-08,259.8,259.85,256.6,258.1,145465,83590
332,2007-10-09,258.1,259.95,256.25,258.8,172039,85198
333,2007-10-10,260.8,263.1,260.3,261.85,159567,89158
334,2007-10-11,262.15,265.05,261.7,265.0,171796,87484
